,0,1
0,168,56
1,168,57
2,168,58
3,168,59
4,168,60
5,168,61
6,168,62
7,168,63
8,168,64
9,168,65
10,168,66
11,168,67
12,168,68
13,168,69
14,168,70
15,168,71
16,168,72
17,168,73
18,168,74
19,168,75
20,168,76
21,168,77
22,168,78
23,168,79
24,168,80
25,168,81
26,168,82
27,168,83
28,168,84
29,168,85
30,168,86
31,168,87
32,168,88
33,168,89
34,168,90
35,168,91
36,168,92
37,168,93
38,168,94
39,168,95
40,168,96
41,168,97
42,168,98
43,168,99
44,168,100
45,168,101
46,168,102
47,169,102
48,170,102
49,171,102
50,172,102
51,173,102
52,174,102
53,175,102
54,176,102
55,177,102
56,178,102
57,179,102
58,180,102
59,181,102
60,182,102
61,183,102
62,184,102
63,185,102
64,186,102
65,187,102
66,188,102
67,189,102
68,190,102
69,191,102
70,192,102
71,193,102
72,194,102
73,195,102
74,196,102
75,197,102
76,198,102
77,199,102
78,200,102
79,201,102
80,202,102
81,203,102
82,204,102
83,205,102
84,206,102
85,207,102
86,208,102
87,209,102
88,210,102
89,211,102
90,212,102
91,213,102
92,214,102
93,215,102
94,216,102
95,217,102
96,218,102
97,219,102
98,220,102
99,221,102
100,222,102
101,223,102
102,224,102
103,225,102
104,226,102
105,227,102
106,228,102
107,229,102
108,230,102
109,231,102
110,232,102
111,233,102
112,234,102
113,235,102
114,236,102
115,237,102
116,238,102
117,239,102
118,240,102
119,241,102
120,242,102
121,243,102
122,244,102
123,245,102
124,246,102
125,247,102
126,248,102
127,249,102
128,250,102
129,251,102
130,252,102
131,253,102
132,254,102
133,255,102
134,256,102
135,257,102
136,258,102
137,259,102
138,260,102
139,261,102
140,262,102
141,263,102
142,264,102
143,265,102
144,266,102
145,267,102
146,268,102
147,269,102
148,270,102
149,271,102
150,272,102
151,273,102
152,274,102
153,274,103
154,274,104
155,274,105
156,274,106
157,274,107
158,274,108
159,274,109
160,274,110
161,274,111
162,274,112
163,274,113
164,274,114
165,274,115
166,274,116
167,274,117
168,274,118
169,274,119
170,274,120
171,274,121
172,274,122
173,274,123
174,274,124
175,274,125
176,274,126
177,274,127
178,274,128
179,274,129
180,274,130
181,274,131
182,274,132
183,274,133
184,274,134
185,274,135
186,274,136
187,274,137
188,274,138
189,274,139
190,274,140
191,274,141
192,274,142
193,274,143
194,274,144
195,274,145
196,274,146
197,274,147
198,274,148
199,274,149
200,274,150
201,274,151
202,274,152
203,274,153
204,274,154
205,274,155
206,274,156
207,274,157
208,274,158
209,274,159
210,274,160
211,274,161
212,274,162
213,274,163
214,274,164
215,274,165
216,274,166
217,274,167
218,274,168
219,274,169
220,274,170
221,274,171
222,274,172
223,274,173
224,274,174
225,274,175
226,274,176
227,274,177
228,274,178
229,274,179
230,274,180
231,274,181
232,274,182
233,274,183
234,274,184
235,274,185
236,274,186
237,274,187
238,274,188
239,274,189
240,274,190
241,274,191
242,274,192
243,274,193
244,274,194
245,274,195
246,274,196
247,274,197
248,274,198
249,274,199
250,274,200
251,274,201
252,274,202
253,274,203
254,274,204
255,274,205
256,274,206
257,274,207
258,274,208
259,274,209
260,274,210
261,274,211
262,274,212
263,274,213
264,274,214
265,274,215
266,274,216
267,274,217
268,274,218
269,274,219
270,274,220
271,274,221
272,274,222
273,274,223
274,274,224
275,274,225
276,274,226
277,274,227
278,274,228
279,274,229
280,274,230
281,274,231
282,274,232
283,274,233
284,274,234
285,274,235
286,274,236
287,274,237
288,274,238
289,274,239
290,274,240
291,274,241
292,274,242
293,274,243
294,274,244
295,274,245
296,274,246
297,274,247
298,274,248
299,274,249
300,274,250
301,274,251
302,274,252
303,274,253
304,274,254
305,274,255
306,274,256
307,274,257
308,274,258
309,274,259
310,274,260
311,274,261
312,274,262
313,274,263
314,274,264
315,274,265
316,274,266
317,274,267
318,274,268
319,274,269
320,274,270
321,274,271
322,274,272
323,274,273
324,274,274
325,274,275
326,274,276
327,274,277
328,274,278
329,274,279
330,274,280
331,274,281
332,274,282
333,274,283
334,274,284
335,274,285
336,274,286
337,274,287
338,274,288
339,274,289
340,274,290
341,274,291
342,274,292
343,274,293
344,274,294
345,274,295
346,274,296
347,274,297
348,274,298
349,274,299
350,274,300
351,274,301
352,274,302
353,274,303
354,274,304
355,274,305
356,274,306
357,274,307
358,274,308
359,274,309
360,274,310
361,274,311
362,274,312
363,274,313
364,274,314
365,274,315
